run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	study_alias	experiment_alias	run_alias	fastq_ftp	sra_ftp	sample_alias	bam_ftp	bam_bytes
SRR19064762	SAMN28061629	SRX15136232	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC007	DC007_S44_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/062/SRR19064762/SRR19064762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/062/SRR19064762/SRR19064762_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/062/SRR19064762	DC007		
SRR19064765	SAMN28062121	SRX15136229	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP344	DP344_UAB832_S37_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/065/SRR19064765/SRR19064765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/065/SRR19064765/SRR19064765_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/065/SRR19064765	DP344		
SRR19064769	SAMN28062079	SRX15136225	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP292	DP292_S328_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/069/SRR19064769/SRR19064769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/069/SRR19064769/SRR19064769_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/069/SRR19064769	DP292		
SRR19064770	SAMN28062082	SRX15135978	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP295	DP295_S338_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/070/SRR19064770/SRR19064770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/070/SRR19064770/SRR19064770_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/070/SRR19064770	DP295		
SRR19064782	SAMN28062068	SRX15136213	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP275	DP275_S269_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/082/SRR19064782/SRR19064782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/082/SRR19064782/SRR19064782_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/082/SRR19064782	DP275		
SRR19064784	SAMN28062065	SRX15136210	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP272	DP272_S266_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/084/SRR19064784/SRR19064784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/084/SRR19064784/SRR19064784_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/084/SRR19064784	DP272		
SRR19064789	SAMN28062062	SRX15136206	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP269	DP269_S263_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/089/SRR19064789/SRR19064789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/089/SRR19064789/SRR19064789_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/089/SRR19064789	DP269		
SRR19064790	SAMN28062061	SRX15136205	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP267	DP267_S262_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/090/SRR19064790/SRR19064790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/090/SRR19064790/SRR19064790_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/090/SRR19064790	DP267		
SRR19064793	SAMN28062037	SRX15136200	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP234	DP234_S232_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/093/SRR19064793/SRR19064793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/093/SRR19064793/SRR19064793_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/093/SRR19064793	DP234		
SRR19064794	SAMN28062036	SRX15136199	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP231	DP231_S229_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/094/SRR19064794/SRR19064794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/094/SRR19064794/SRR19064794_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/094/SRR19064794	DP231		
SRR19064795	SAMN28062035	SRX15136198	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP229	DP229_S227_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/095/SRR19064795/SRR19064795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/095/SRR19064795/SRR19064795_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/095/SRR19064795	DP229		
SRR19064804	SAMN28062031	SRX15136193	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP223	DP223_S221_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/004/SRR19064804/SRR19064804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/004/SRR19064804/SRR19064804_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/004/SRR19064804	DP223		
SRR19064805	SAMN28062027	SRX15136189	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP219	DP219_S217_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/005/SRR19064805/SRR19064805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/005/SRR19064805/SRR19064805_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/005/SRR19064805	DP219		
SRR19064806	SAMN28062026	SRX15136188	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP218	DP218_S216_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/006/SRR19064806/SRR19064806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/006/SRR19064806/SRR19064806_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/006/SRR19064806	DP218		
SRR19064807	SAMN28062025	SRX15136187	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP213	DP213_S211_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/007/SRR19064807/SRR19064807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/007/SRR19064807/SRR19064807_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/007/SRR19064807	DP213		
SRR19064815	SAMN28061999	SRX15136178	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP179	DP179_S177_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/015/SRR19064815/SRR19064815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/015/SRR19064815/SRR19064815_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/015/SRR19064815	DP179		
SRR19064817	SAMN28061997	SRX15136176	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP177	DP177_S175_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/017/SRR19064817/SRR19064817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/017/SRR19064817/SRR19064817_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/017/SRR19064817	DP177		
SRR19064819	SAMN28061994	SRX15136173	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP172	DP172_S171_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/019/SRR19064819/SRR19064819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/019/SRR19064819/SRR19064819_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/019/SRR19064819	DP172		
SRR19064820	SAMN28061661	SRX15136172	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC052	DC052_S214_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/020/SRR19064820/SRR19064820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/020/SRR19064820/SRR19064820_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/020/SRR19064820	DC052		
SRR19064822	SAMN28061995	SRX15136174	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP175	DP175_S173_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/022/SRR19064822/SRR19064822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/022/SRR19064822/SRR19064822_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/022/SRR19064822	DP175		
SRR19064827	SAMN28061987	SRX15136165	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP164	DP164_S163_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/027/SRR19064827/SRR19064827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/027/SRR19064827/SRR19064827_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/027/SRR19064827	DP164		
SRR19064830	SAMN28061988	SRX15136166	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP165	DP165_S164_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/030/SRR19064830/SRR19064830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/030/SRR19064830/SRR19064830_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/030/SRR19064830	DP165		
SRR19064831	SAMN28061984	SRX15136162	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP160	DP160_S159_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/031/SRR19064831/SRR19064831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/031/SRR19064831/SRR19064831_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/031/SRR19064831	DP160		
SRR19064834	SAMN28061982	SRX15136159	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP158	DP158_S157_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/034/SRR19064834/SRR19064834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/034/SRR19064834/SRR19064834_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/034/SRR19064834	DP158		
SRR19064836	SAMN28061980	SRX15136157	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP156	DP156_S155_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/036/SRR19064836/SRR19064836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/036/SRR19064836/SRR19064836_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/036/SRR19064836	DP156		
SRR19064838	SAMN28061978	SRX15136155	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP154	DP154_S153_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/038/SRR19064838/SRR19064838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/038/SRR19064838/SRR19064838_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/038/SRR19064838	DP154		
SRR19064840	SAMN28061975	SRX15136152	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP151	DP151_S150_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/040/SRR19064840/SRR19064840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/040/SRR19064840/SRR19064840_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/040/SRR19064840	DP151		
SRR19064841	SAMN28061974	SRX15136151	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP150	DP150_S149_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/041/SRR19064841/SRR19064841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/041/SRR19064841/SRR19064841_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/041/SRR19064841	DP150		
SRR19064845	SAMN28061972	SRX15136148	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP148	DP148_S147_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/045/SRR19064845/SRR19064845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/045/SRR19064845/SRR19064845_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/045/SRR19064845	DP148		
SRR19064853	SAMN28061964	SRX15135954	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP136	DP136_S135_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/053/SRR19064853/SRR19064853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/053/SRR19064853/SRR19064853_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/053/SRR19064853	DP136		
SRR19064854	SAMN28061888	SRX15136139	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP038	DP038_S38_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/054/SRR19064854/SRR19064854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/054/SRR19064854/SRR19064854_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/054/SRR19064854	DP038		
SRR19064857	SAMN28061889	SRX15136140	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP039	DP039_S39_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/057/SRR19064857/SRR19064857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/057/SRR19064857/SRR19064857_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/057/SRR19064857	DP039		
SRR19064858	SAMN28061885	SRX15136136	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP032	DP032_S32_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/058/SRR19064858/SRR19064858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/058/SRR19064858/SRR19064858_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/058/SRR19064858	DP032		
SRR19064862	SAMN28061881	SRX15136131	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP028	DP028_S28_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/062/SRR19064862/SRR19064862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/062/SRR19064862/SRR19064862_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/062/SRR19064862	DP028		
SRR19064866	SAMN28061878	SRX15136128	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP025	DP025_S25_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/066/SRR19064866/SRR19064866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/066/SRR19064866/SRR19064866_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/066/SRR19064866	DP025		
SRR19064867	SAMN28061877	SRX15136127	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP024	DP024_S24_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/067/SRR19064867/SRR19064867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/067/SRR19064867/SRR19064867_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/067/SRR19064867	DP024		
SRR19064869	SAMN28061875	SRX15136125	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP021	DP021_S21_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/069/SRR19064869/SRR19064869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/069/SRR19064869/SRR19064869_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/069/SRR19064869	DP021		
SRR19064879	SAMN28061866	SRX15136115	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP009	DP009_S9_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/079/SRR19064879/SRR19064879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/079/SRR19064879/SRR19064879_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/079/SRR19064879	DP009		
SRR19064884	SAMN28061862	SRX15136110	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP005	DP005_S5_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/084/SRR19064884/SRR19064884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/084/SRR19064884/SRR19064884_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/084/SRR19064884	DP005		
SRR19064885	SAMN28061861	SRX15136109	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP004	DP004_S4_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/085/SRR19064885/SRR19064885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/085/SRR19064885/SRR19064885_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/085/SRR19064885	DP004		
SRR19064891	SAMN28061855	SRX15136103	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC314	DC314_UAB832_S75_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/091/SRR19064891/SRR19064891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/091/SRR19064891/SRR19064891_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/091/SRR19064891	DC314		
SRR19064892	SAMN28061854	SRX15136102	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC313	DC313_UAB832_S74_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/092/SRR19064892/SRR19064892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/092/SRR19064892/SRR19064892_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/092/SRR19064892	DC313		
SRR19064894	SAMN28061853	SRX15136100	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC312	DC312_UAB832_S73_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/094/SRR19064894/SRR19064894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/094/SRR19064894/SRR19064894_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/094/SRR19064894	DC312		
SRR19064895	SAMN28061852	SRX15136099	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC310	DC310_UAB832_S72_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/095/SRR19064895/SRR19064895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/095/SRR19064895/SRR19064895_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/095/SRR19064895	DC310		
SRR19064896	SAMN28061851	SRX15136098	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC308	DC308_UAB832_S71_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/096/SRR19064896/SRR19064896_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/096/SRR19064896/SRR19064896_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/096/SRR19064896	DC308		
SRR19064897	SAMN28061850	SRX15136097	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC307	DC307_UAB832_S70_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/097/SRR19064897/SRR19064897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/097/SRR19064897/SRR19064897_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/097/SRR19064897	DC307		
SRR19064904	SAMN28061646	SRX15136090	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC029	DC029_S128_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/004/SRR19064904/SRR19064904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/004/SRR19064904/SRR19064904_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/004/SRR19064904	DC029		
SRR19064908	SAMN28061840	SRX15136086	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC291	DC291_UAB832_S61_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/008/SRR19064908/SRR19064908_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/008/SRR19064908/SRR19064908_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/008/SRR19064908	DC291		
SRR19064909	SAMN28061839	SRX15136085	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC290	DC290_UAB832_S34_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/009/SRR19064909/SRR19064909_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/009/SRR19064909/SRR19064909_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/009/SRR19064909	DC290		
SRR19064912	SAMN28061836	SRX15136082	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC285	DC285_UAB832_S31_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/012/SRR19064912/SRR19064912_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/012/SRR19064912/SRR19064912_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/012/SRR19064912	DC285		
SRR19064913	SAMN28061835	SRX15136081	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC283	DC283_UAB832_S30_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/013/SRR19064913/SRR19064913_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/013/SRR19064913/SRR19064913_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/013/SRR19064913	DC283		
SRR19064929	SAMN28061785	SRX15136065	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC211	DC211_UAB832_S44_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/029/SRR19064929/SRR19064929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/029/SRR19064929/SRR19064929_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/029/SRR19064929	DC211		
SRR19064933	SAMN28061782	SRX15136061	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC206	DC206_UAB832_S41_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/033/SRR19064933/SRR19064933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/033/SRR19064933/SRR19064933_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/033/SRR19064933	DC206		
SRR19064934	SAMN28061781	SRX15136060	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC205	DC205_UAB832_S40_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/034/SRR19064934/SRR19064934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/034/SRR19064934/SRR19064934_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/034/SRR19064934	DC205		
SRR19064939	SAMN28061720	SRX15136056	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC126	DC126_S332_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/039/SRR19064939/SRR19064939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/039/SRR19064939/SRR19064939_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/039/SRR19064939	DC126		
SRR19064941	SAMN28061717	SRX15136053	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC121	DC121_S327_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/041/SRR19064941/SRR19064941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/041/SRR19064941/SRR19064941_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/041/SRR19064941	DC121		
SRR19064943	SAMN28061715	SRX15136051	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC119	DC119_S325_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/043/SRR19064943/SRR19064943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/043/SRR19064943/SRR19064943_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/043/SRR19064943	DC119		
SRR19064945	SAMN28061714	SRX15136050	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC118	DC118_S324_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/045/SRR19064945/SRR19064945_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/045/SRR19064945/SRR19064945_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/045/SRR19064945	DC118		
SRR19064947	SAMN28061713	SRX15136048	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC117	DC117_S323_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/047/SRR19064947/SRR19064947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/047/SRR19064947/SRR19064947_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/047/SRR19064947	DC117		
SRR19064948	SAMN28061712	SRX15136047	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC115	DC115_S322_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/048/SRR19064948/SRR19064948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/048/SRR19064948/SRR19064948_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/048/SRR19064948	DC115		
